1	0	5.06	1
2	0	5.07	0
3	0	5.07	0
4	0	5.13	0
5	0	5.05	0
6	0	5.01	0
7	0	5.01	1
8	0	5.11	0
9	0	5.04	0
10	0	5.06	1
11	0	5.01	0
12	0	5.13	0
13	0	5.06	1
14	0	5.11	0
15	0	5.08	0
16	0	5.11	0
17	0	5.04	1
18	0	5.11	0
19	0	5.06	1
20	0	5.02	0
21	0	5.04	0
22	0	5.01	0
23	0	5.01	1
24	0	5.10	0
25	0	5.01	1
26	0	5.08	0
27	0	5.02	0
28	0	5.01	1
29	0	5.06	1
30	0	5.11	0
31	0	5.06	1
32	0	5.13	0
33	0	5.11	0
34	0	5.01	0
35	0	5.05	0
36	0	5.05	0
37	0	5.08	1
38	0	5.06	0
39	0	5.02	0
40	0	5.06	1
41	0	5.06	1
42	0	5.13	0
43	0	5.01	1
44	0	5.05	1
45	0	5.11	1
46	0	5.10	0
47	0	5.10	0
48	0	5.11	0
49	0	5.08	1
50	0	5.01	0
51	0	5.06	1
52	0	5.10	0
53	0	5.06	1
54	0	5.10	0
55	0	5.02	1
56	0	5.05	0
57	0	5.07	0
58	0	5.04	1
59	0	5.02	1
60	0	5.11	0
61	0	5.13	0
62	0	5.11	0
63	0	5.06	1
64	0	5.06	1
65	0	5.02	1
66	0	5.02	1
67	0	5.04	0
68	0	5.08	0
69	0	5.06	1
70	0	5.07	0
71	0	5.06	1
72	0	5.10	0
73	0	5.13	0
74	0	5.13	0
75	0	5.13	0
76	0	5.10	0
77	0	5.08	0
78	0	5.06	0
79	0	5.04	0
80	0	5.05	1
81	0	5.11	0
82	0	5.07	0
83	0	5.11	0
84	0	5.11	0
85	0	5.10	0
86	0	5.02	0
87	0	5.10	0
88	0	5.13	0
89	0	5.10	0
90	0	5.02	0
91	0	5.10	0
92	0	5.04	0
93	0	5.06	1
94	0	5.07	1
95	0	5.07	1
96	0	5.07	0
97	0	5.02	0
98	0	5.10	0
91	0	5.02	0
99	0	5.02	0
100	0	5.06	0
33	0	5.06	0
101	0	5.13	0
15	0	5.10	0
102	0	5.11	0
103	0	5.11	1
104	0	5.10	0
105	0	5.13	0
106	0	5.06	1
107	0	5.05	0
108	0	5.13	0
109	0	5.04	0
110	0	5.06	1
111	0	5.07	0
112	0	5.07	0
113	0	5.05	0
114	0	5.13	0
66	0	5.11	0
115	0	5.06	1
116	0	5.05	0
117	0	5.10	0
118	0	5.13	0
119	0	5.05	1
120	0	5.05	0
121	0	5.11	1
122	0	5.08	0
123	0	5.06	1
124	0	5.05	1
125	0	5.08	0
126	0	5.08	1
127	0	5.07	0
128	0	5.05	0
129	0	5.07	0
130	0	5.06	1
131	0	5.07	0
132	0	5.02	1
133	0	5.05	0
134	0	5.06	1
135	0	5.06	0
122	0	5.02	1
136	0	5.13	0
137	0	5.05	0
138	0	5.01	0
139	0	5.07	0
140	0	5.01	1
141	0	5.11	0
142	0	5.10	0
143	0	5.07	1
144	0	5.11	0
145	0	5.06	0
146	0	5.08	0
147	0	5.06	1
148	0	5.08	0
149	0	5.13	0
